incident_id,speed_kmh,vehicle_age_years,vehicle_value_inr,occupants,airbag_deployed,collision_type,road_condition,weather,vehicle_type,insurance_type,seatbelt_worn,previous_accidents,driver_age,tyre_condition,collision_enc,road_enc,weather_enc,vehicle_type_enc,tyre_enc,damage_severity,parts_damaged,repair_cost_inr
372,128,16,2327410,4,1,Pole,Dry,Rain,Hatchback,None,0,3,68,Good,1.5,1.0,1.25,0.85,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",929900
528,102,14,422775,4,1,Head-on,Icy,Rain,SUV,Third-party,1,1,55,Bald,1.8,1.8,1.25,1.3,1.35,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",2087200
211,132,17,2517181,1,1,Side,Dry,Fog,Hatchback,Third-party,1,4,26,Worn,1.3,1.0,1.15,0.85,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",931300
236,32,1,1528337,1,0,Rear-end,Dry,Clear,Truck,Third-party,1,2,28,Worn,1.0,1.0,1.0,1.5,1.15,Moderate,"Bumper, Door Panel",288400
102,9,18,1775153,5,0,Head-on,Gravel,Clear,Sedan,Comprehensive,0,3,49,Good,1.8,1.2,1.0,1.0,1.0,Minor,Minor scratches,442200
987,74,19,2948202,3,1,Side,Dry,Clear,Sedan,Comprehensive,1,0,62,Good,1.3,1.0,1.0,1.0,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",557400
903,34,3,2480707,1,0,Rear-end,Wet,Fog,Sedan,Third-party,1,4,70,Good,1.0,1.3,1.15,1.0,1.0,Moderate,"Bumper, Door Panel",348600
948,11,8,2405188,2,0,Head-on,Gravel,Clear,SUV,Comprehensive,1,4,27,Good,1.8,1.2,1.0,1.3,1.0,Minor,Bumper,696500
347,90,14,2430939,2,1,Rear-end,Wet,Rain,Sedan,Comprehensive,1,0,53,Good,1.0,1.3,1.25,1.0,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",684100
140,66,12,2080752,4,1,Pole,Icy,Rain,Sedan,Third-party,1,3,23,Worn,1.5,1.8,1.25,1.0,1.15,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",1348300
622,77,13,423950,1,1,Pole,Dry,Clear,Sedan,Comprehensive,1,2,50,Worn,1.5,1.0,1.0,1.0,1.15,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",395000
500,94,17,1490631,3,1,Side,Icy,Clear,SUV,Third-party,1,1,32,Worn,1.3,1.8,1.0,1.3,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1292600
371,88,2,1371860,4,1,Rear-end,Wet,Rain,Sedan,Third-party,1,0,67,Worn,1.0,1.3,1.25,1.0,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",553100
199,52,5,1819603,2,1,Rear-end,Dry,Rain,Sedan,Comprehensive,0,3,63,Good,1.0,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",340600
688,74,10,1484141,1,1,Rear-end,Wet,Rain,Truck,Comprehensive,0,4,30,Worn,1.0,1.3,1.25,1.5,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",914900
585,21,0,1510578,3,0,Side,Icy,Clear,Sedan,Comprehensive,1,4,32,Worn,1.3,1.8,1.0,1.0,1.15,Minor,Bumper,464800
902,53,11,628821,1,1,Side,Wet,Clear,Truck,Third-party,1,0,23,Worn,1.3,1.3,1.0,1.5,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",521900
60,48,4,1972717,5,1,Head-on,Dry,Fog,SUV,None,1,2,31,Good,1.8,1.0,1.15,1.3,1.0,Moderate,"Bumper, Hood, Headlights/Taillights",687100
329,131,11,2714802,4,1,Head-on,Wet,Clear,Hatchback,Comprehensive,0,1,34,Worn,1.8,1.3,1.0,0.85,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1427100
97,108,13,1359325,3,1,Head-on,Wet,Rain,Hatchback,Third-party,1,0,29,Bald,1.8,1.3,1.25,0.85,1.35,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1377200
313,103,3,1382424,3,1,Rear-end,Wet,Rain,Sedan,Third-party,1,0,45,Worn,1.0,1.3,1.25,1.0,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",661500
975,18,6,430544,2,0,Rollover,Dry,Fog,SUV,Comprehensive,1,2,41,Good,2.2,1.0,1.15,1.3,1.0,Minor,Bumper,209700
300,58,12,2921038,5,1,Rear-end,Dry,Clear,SUV,None,1,2,64,Worn,1.0,1.0,1.0,1.3,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",538300
278,64,12,1949729,4,1,Rear-end,Dry,Clear,SUV,Third-party,1,2,43,Worn,1.0,1.0,1.0,1.3,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",470700
925,139,0,1633572,1,1,Rear-end,Dry,Snow,Two-wheeler,Comprehensive,1,0,49,Worn,1.0,1.0,1.4,0.6,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",514800
602,29,14,2946996,1,0,Rear-end,Wet,Rain,Truck,Comprehensive,1,0,62,Bald,1.0,1.3,1.25,1.5,1.35,Minor,"Bumper, Door Panel",959000
440,80,0,2447753,5,1,Rear-end,Icy,Fog,Hatchback,Comprehensive,1,3,34,Bald,1.0,1.8,1.15,0.85,1.35,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",921300
838,115,14,310651,5,1,Rear-end,Wet,Clear,Sedan,Comprehensive,1,4,49,Good,1.0,1.3,1.0,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",483400
571,86,7,832726,3,1,Rollover,Dry,Snow,SUV,Comprehensive,0,3,32,Worn,2.2,1.0,1.4,1.3,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",1357300
880,132,16,2780547,4,1,Head-on,Dry,Fog,SUV,Comprehensive,1,2,69,Worn,1.8,1.0,1.15,1.3,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1909300
262,71,18,2630255,1,1,Head-on,Dry,Clear,Two-wheeler,Third-party,1,1,35,Worn,1.8,1.0,1.0,0.6,1.15,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",497300
579,55,13,1610077,5,1,Rollover,Dry,Clear,SUV,Third-party,1,3,25,Worn,2.2,1.0,1.0,1.3,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",957900
24,53,10,360545,3,1,Rear-end,Dry,Snow,Sedan,Third-party,0,3,19,Good,1.0,1.0,1.4,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",254500
31,135,14,1001692,4,1,Side,Dry,Clear,Sedan,Comprehensive,0,4,53,Good,1.3,1.0,1.0,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",666000
618,50,4,458588,3,1,Side,Dry,Clear,Sedan,Third-party,1,4,23,Bald,1.3,1.0,1.0,1.0,1.35,Moderate,"Bumper, Door Panel, Headlights/Taillights",303100
11,121,16,307967,3,1,Pole,Dry,Clear,Truck,Comprehensive,1,3,67,Good,1.5,1.0,1.0,1.5,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",879500
222,132,1,922893,1,1,Rear-end,Wet,Rain,Sedan,Comprehensive,1,2,47,Good,1.0,1.3,1.25,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",746400
821,119,17,2827751,3,1,Head-on,Wet,Clear,Hatchback,Comprehensive,1,1,23,Good,1.8,1.3,1.0,0.85,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1161600
297,53,16,716978,3,1,Rollover,Dry,Clear,Two-wheeler,Third-party,1,1,62,Worn,2.2,1.0,1.0,0.6,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",297200
55,138,9,1530844,1,1,Rear-end,Gravel,Clear,Sedan,Third-party,0,2,66,Good,1.0,1.2,1.0,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",650400
543,114,0,1826534,3,1,Pole,Dry,Rain,Two-wheeler,Comprehensive,1,0,35,Good,1.5,1.0,1.25,0.6,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",491900
210,97,17,2521599,1,1,Side,Dry,Rain,Truck,Third-party,1,1,48,Worn,1.3,1.0,1.25,1.5,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1290000
605,65,11,671233,4,1,Side,Dry,Clear,SUV,None,0,1,24,Good,1.3,1.0,1.0,1.3,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",391500
693,66,3,377175,5,1,Pole,Dry,Clear,Sedan,Third-party,1,3,28,Bald,1.5,1.0,1.0,1.0,1.35,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",377700
663,130,11,2112336,1,1,Side,Dry,Rain,Hatchback,Comprehensive,1,0,26,Bald,1.3,1.0,1.25,0.85,1.35,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1018400
867,57,7,810370,4,1,Head-on,Dry,Clear,Truck,Third-party,0,2,69,Bald,1.8,1.0,1.0,1.5,1.35,Moderate,"Bumper, Hood, Headlights/Taillights, Radiator",708100
71,45,16,802420,1,1,Head-on,Icy,Clear,Hatchback,Comprehensive,1,1,68,Good,1.8,1.8,1.0,0.85,1.0,Moderate,"Bumper, Hood, Headlights/Taillights",499000
544,5,2,1124143,3,0,Rear-end,Wet,Clear,Sedan,Comprehensive,1,0,61,Good,1.0,1.3,1.0,1.0,1.0,Minor,Minor scratches,99200
108,128,6,2375020,2,1,Head-on,Dry,Clear,Hatchback,Comprehensive,1,0,38,Worn,1.8,1.0,1.0,0.85,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",994600
494,20,7,1124255,2,0,Head-on,Dry,Rain,SUV,Comprehensive,1,1,21,Bald,1.8,1.0,1.25,1.3,1.35,Minor,Bumper,475900
591,130,0,1916596,5,1,Pole,Wet,Rain,Hatchback,Third-party,1,4,58,Good,1.5,1.3,1.25,0.85,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1082200
742,77,11,2534805,2,1,Pole,Wet,Rain,Hatchback,Third-party,1,0,39,Good,1.5,1.3,1.25,0.85,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",810800
293,129,12,2040687,4,1,Head-on,Wet,Clear,Hatchback,Third-party,1,3,66,Worn,1.8,1.3,1.0,0.85,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1242500
290,90,11,1726445,1,1,Side,Gravel,Snow,Truck,Third-party,1,2,49,Good,1.3,1.2,1.4,1.5,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",1221400
653,111,0,776513,5,1,Rear-end,Dry,Rain,SUV,Comprehensive,0,4,42,Worn,1.0,1.0,1.25,1.3,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",708700
40,18,10,437478,3,0,Rear-end,Wet,Rain,Two-wheeler,Comprehensive,0,4,30,Good,1.0,1.3,1.25,0.6,1.0,Minor,Bumper,105600
590,57,11,2809256,5,1,Rear-end,Dry,Rain,Sedan,Comprehensive,0,4,24,Worn,1.0,1.0,1.25,1.0,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",562700
308,10,1,2501044,3,0,Head-on,Icy,Clear,SUV,Comprehensive,0,4,20,Good,1.8,1.8,1.0,1.3,1.0,Minor,Minor scratches,963700
680,10,0,2838568,5,0,Side,Wet,Rain,Hatchback,Comprehensive,1,2,42,Worn,1.3,1.3,1.25,0.85,1.15,Minor,Minor scratches,494800
67,115,18,363037,2,1,Rollover,Dry,Clear,Sedan,Comprehensive,0,1,69,Bald,2.2,1.0,1.0,1.0,1.35,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1061000
276,54,4,989556,3,1,Rear-end,Dry,Rain,Sedan,Comprehensive,0,2,34,Good,1.0,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",269100
68,57,4,2927988,5,1,Rear-end,Dry,Clear,Sedan,Comprehensive,1,1,63,Good,1.0,1.0,1.0,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",357900
319,110,9,2020023,3,1,Head-on,Dry,Rain,Sedan,None,1,0,38,Good,1.8,1.0,1.25,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1000800
549,38,11,2260155,2,0,Rear-end,Wet,Clear,Sedan,Third-party,1,0,35,Bald,1.0,1.3,1.0,1.0,1.35,Moderate,"Bumper, Door Panel",437500
999,110,2,902276,5,1,Rear-end,Wet,Clear,Hatchback,Third-party,0,1,44,Bald,1.0,1.3,1.0,0.85,1.35,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",544900
715,137,16,2407037,5,1,Head-on,Wet,Rain,Sedan,Third-party,1,4,28,Good,1.8,1.3,1.25,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1860000
754,80,10,1741985,3,1,Rollover,Dry,Clear,SUV,Third-party,0,0,50,Good,2.2,1.0,1.0,1.3,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",911700
328,27,19,1196816,5,0,Rollover,Wet,Snow,Hatchback,Comprehensive,1,4,70,Bald,2.2,1.3,1.4,0.85,1.35,Minor,"Bumper, Door Panel",763500
383,99,14,460381,2,1,Head-on,Dry,Snow,Truck,None,0,1,67,Worn,1.8,1.0,1.4,1.5,1.15,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1336400
452,90,14,1698616,3,1,Rollover,Icy,Clear,SUV,Third-party,1,0,20,Bald,2.2,1.8,1.0,1.3,1.35,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",2608800
523,30,3,1250162,2,0,Head-on,Wet,Rain,Two-wheeler,Comprehensive,1,0,66,Worn,1.8,1.3,1.25,0.6,1.15,Moderate,"Bumper, Hood",231900
219,132,3,1847261,1,1,Rear-end,Wet,Rain,Sedan,Comprehensive,1,4,36,Bald,1.0,1.3,1.25,1.0,1.35,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1180700
788,57,9,565972,2,1,Head-on,Dry,Fog,SUV,Third-party,0,0,34,Good,1.8,1.0,1.15,1.3,1.0,Moderate,"Bumper, Hood, Headlights/Taillights, Radiator",519000
437,126,0,2867822,5,1,Pole,Dry,Rain,Hatchback,Comprehensive,1,4,32,Worn,1.5,1.0,1.25,0.85,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1073100
765,18,12,2554736,3,0,Rear-end,Icy,Clear,Sedan,Third-party,1,3,63,Worn,1.0,1.8,1.0,1.0,1.15,Minor,Bumper,492400
89,139,12,1271248,1,1,Pole,Wet,Rain,Sedan,Third-party,1,4,50,Bald,1.5,1.3,1.25,1.0,1.35,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1801100
64,19,5,1541597,3,0,Rear-end,Dry,Clear,Hatchback,None,1,3,32,Worn,1.0,1.0,1.0,0.85,1.15,Minor,Bumper,166500
827,15,4,1501838,1,0,Rear-end,Dry,Fog,SUV,Comprehensive,1,1,62,Good,1.0,1.0,1.15,1.3,1.0,Minor,Bumper,191600
717,122,2,1152746,5,1,Rear-end,Dry,Fog,Hatchback,Comprehensive,1,1,21,Bald,1.0,1.0,1.15,0.85,1.35,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",566300
352,89,13,611955,3,1,Rollover,Wet,Clear,Sedan,Third-party,1,3,54,Good,2.2,1.3,1.0,1.0,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",815300
937,12,19,2093795,2,0,Head-on,Dry,Clear,Sedan,Comprehensive,1,2,48,Good,1.8,1.0,1.0,1.0,1.0,Minor,Bumper,412100
257,132,7,1095928,4,1,Rear-end,Dry,Clear,Truck,Comprehensive,1,0,45,Good,1.0,1.0,1.0,1.5,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",689400
636,12,5,927220,4,0,Head-on,Dry,Clear,SUV,Comprehensive,1,4,51,Good,1.8,1.0,1.0,1.3,1.0,Minor,Bumper,254600
645,134,20,1852226,1,1,Rear-end,Dry,Clear,Truck,Comprehensive,0,2,56,Good,1.0,1.0,1.0,1.5,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",862700
555,7,5,573349,5,0,Head-on,Dry,Fog,Two-wheeler,Comprehensive,1,0,53,Good,1.8,1.0,1.15,0.6,1.0,Minor,Minor scratches,74300
960,123,19,2633679,5,1,Rear-end,Icy,Fog,Two-wheeler,Third-party,0,0,33,Good,1.0,1.8,1.15,0.6,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",735000
169,73,14,1838510,1,1,Pole,Wet,Clear,Hatchback,Comprehensive,1,0,28,Good,1.5,1.3,1.0,0.85,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",545900
918,36,12,1088443,5,0,Rear-end,Wet,Clear,Two-wheeler,Comprehensive,0,0,48,Good,1.0,1.3,1.0,0.6,1.0,Moderate,"Bumper, Door Panel",114800
529,109,1,1269211,2,1,Rear-end,Gravel,Clear,Two-wheeler,Comprehensive,1,1,27,Worn,1.0,1.2,1.0,0.6,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",319800
824,47,9,1820982,4,1,Rear-end,Dry,Fog,Sedan,Third-party,1,4,56,Good,1.0,1.0,1.15,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",312200
986,79,13,1806145,1,1,Head-on,Dry,Rain,Two-wheeler,Third-party,1,0,63,Good,1.8,1.0,1.25,0.6,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",440700
817,72,18,1010644,4,1,Rollover,Wet,Clear,Truck,None,1,1,33,Good,2.2,1.3,1.0,1.5,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",1151000
87,45,14,1652144,5,1,Rear-end,Dry,Rain,Sedan,Comprehensive,1,4,27,Good,1.0,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",338600
433,61,0,415359,1,1,Head-on,Dry,Clear,Hatchback,Comprehensive,1,2,35,Worn,1.8,1.0,1.0,0.85,1.15,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",269800
185,15,19,1540351,5,0,Side,Dry,Rain,SUV,Comprehensive,1,0,57,Good,1.3,1.0,1.25,1.3,1.0,Minor,Bumper,360700
979,107,14,693574,3,1,Rear-end,Wet,Rain,Sedan,Comprehensive,1,4,56,Worn,1.0,1.3,1.25,1.0,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",687900
535,137,18,2569070,4,1,Rear-end,Gravel,Rain,SUV,Comprehensive,1,3,37,Good,1.0,1.2,1.25,1.3,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1271700
295,62,16,1045182,5,1,Side,Dry,Rain,SUV,Third-party,1,2,56,Good,1.3,1.0,1.25,1.3,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",527100
893,67,1,2713608,5,1,Rollover,Dry,Clear,SUV,Comprehensive,1,3,22,Good,2.2,1.0,1.0,1.3,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",1044000
426,115,8,1233396,2,1,Head-on,Dry,Clear,SUV,Third-party,1,0,54,Good,1.8,1.0,1.0,1.3,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",900900
714,48,0,875919,3,1,Rear-end,Dry,Clear,Sedan,Third-party,1,0,70,Bald,1.0,1.0,1.0,1.0,1.35,Moderate,"Bumper, Door Panel, Headlights/Taillights",204500
261,62,5,2125977,1,1,Head-on,Dry,Fog,SUV,Comprehensive,1,1,37,Good,1.8,1.0,1.15,1.3,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",835800
238,65,5,784814,3,1,Head-on,Wet,Clear,Truck,None,1,0,67,Good,1.8,1.3,1.0,1.5,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",683300
560,137,6,2329450,1,1,Rear-end,Gravel,Clear,SUV,Third-party,1,1,19,Worn,1.0,1.2,1.0,1.3,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1062600
584,78,8,2004581,1,1,Rear-end,Dry,Clear,Hatchback,Third-party,1,2,53,Good,1.0,1.0,1.0,0.85,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",295300
446,9,6,551924,2,0,Head-on,Gravel,Clear,Truck,Comprehensive,1,0,54,Good,1.8,1.2,1.0,1.5,1.0,Minor,Minor scratches,151200
868,61,4,2923722,4,1,Rear-end,Wet,Rain,SUV,Third-party,0,2,31,Worn,1.0,1.3,1.25,1.3,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",906300
801,37,12,2773894,2,0,Rear-end,Dry,Clear,Hatchback,Comprehensive,1,4,67,Worn,1.0,1.0,1.0,0.85,1.15,Moderate,"Bumper, Door Panel",288500
